Compound,Date,Negative,Neutral,News_Org,Positive,Tweets Ago
0.4926,Thu Jun 21 23:29:50 +0000 2018,0.803,0.0,CBS,0.197,19
0.3555,Wed Jun 20 00:39:01 +0000 2018,0.68,0.122,CBS,0.199,20
0.6514,Thu Jul 12 01:01:24 +0000 2018,0.718,0.0,CBS,0.282,21
0.5562,Wed Jul 11 21:44:45 +0000 2018,0.826,0.0,CBS,0.174,22
0.5411,Wed Jul 11 19:09:34 +0000 2018,0.857,0.0,CBS,0.143,23
0.0,Mon Jul 09 23:55:07 +0000 2018,1.0,0.0,CBS,0.0,24
-0.3818,Mon Jul 09 18:53:34 +0000 2018,0.894,0.106,CBS,0.0,25
0.3182,Mon Jul 09 18:09:00 +0000 2018,0.897,0.0,CBS,0.103,26
0.4019,Fri Jul 06 22:22:55 +0000 2018,0.847,0.0,CBS,0.153,27
0.8622,Fri Jul 06 18:26:37 +0000 2018,0.61,0.0,CBS,0.39,28
0.3612,Thu Jul 05 21:12:17 +0000 2018,0.898,0.0,CBS,0.102,29
0.3182,Mon Jul 02 21:13:11 +0000 2018,0.892,0.0,CBS,0.108,30
0.0,Mon Jul 02 20:47:32 +0000 2018,1.0,0.0,CBS,0.0,31
0.0,Mon Jul 02 17:27:06 +0000 2018,1.0,0.0,CBS,0.0,32
0.5411,Mon Jul 02 17:00:02 +0000 2018,0.741,0.0,CBS,0.259,33
0.0,Wed Jun 27 20:31:32 +0000 2018,1.0,0.0,CBS,0.0,34
0.7574,Wed Jun 27 14:00:01 +0000 2018,0.711,0.0,CBS,0.289,35
0.5574,Mon Jun 25 18:20:25 +0000 2018,0.796,0.0,CBS,0.204,36
0.1867,Fri Jun 22 21:19:06 +0000 2018,0.902,0.0,CBS,0.098,37
0.4199,Fri Jun 22 18:33:53 +0000 2018,0.811,0.0,CBS,0.189,38
0.4926,Thu Jun 21 23:29:50 +0000 2018,0.803,0.0,CBS,0.197,39
0.3555,Wed Jun 20 00:39:01 +0000 2018,0.68,0.122,CBS,0.199,40
0.6514,Thu Jul 12 01:01:24 +0000 2018,0.718,0.0,CBS,0.282,41
0.5562,Wed Jul 11 21:44:45 +0000 2018,0.826,0.0,CBS,0.174,42
0.5411,Wed Jul 11 19:09:34 +0000 2018,0.857,0.0,CBS,0.143,43
0.0,Mon Jul 09 23:55:07 +0000 2018,1.0,0.0,CBS,0.0,44
-0.3818,Mon Jul 09 18:53:34 +0000 2018,0.894,0.106,CBS,0.0,45
0.3182,Mon Jul 09 18:09:00 +0000 2018,0.897,0.0,CBS,0.103,46
